qr_image,url,label
qr_0.png,https://www.phantom-wallat-extantion-rho.vercel.app/,malicious
qr_1.png,http://appviewtechs.info/37693bf0e3fe4c494fiad589a38ub13c64c7.html,malicious
qr_2.png,https://mgamt.com/landing/form/b5efb951-5670-41ca-afa9-81c48d5c1164,malicious
qr_3.png,https://www.robiox.com.py/games/131623223084840/Escape-Tsunami-For-Brainrots?privateServerLinkCode=260160362158058477668123539341,malicious
qr_4.png,https://wmt1-7ckc8-8awo-2u7x.pages.dev/a7f9q-3zk-p8d4m-9hx?id=113349281373657&page_name=I%20S%20&%20F%20A%20Q%20K%20I%20N%20G/,malicious
qr_5.png,https://xelra-davon-biz-sunra-zxhy22526z-pranel.pages.dev/c9x2m-7bp-k4t8v-3ls?id=105565964337316&page_name=JLS%20Businesses%20Operation/%20%E1%9E%9F%E1%9F%81%E1%9E%9C%E1%9E%B6%E1%9E%80%E1%9E%98%E1%9F%92%E1%9E%98%E1%9E%85%E1%9E%BB%E1%9F%87%E1%9E%94%E1%9E%89%E1%9F%92%E1%9E%87%E1%9E%B8%E1%9E%A2%E1%9E%B6%E1%9E%87%E1%9E%B8%E1%9E%9C%E1%9E%80%E1%9E%98%E1%9F%92%E1%9E%98/,malicious
qr_6.png,https://emfjgiedopewwszs.weebly.com/,malicious
qr_7.png,https://wmt1-7ckc8-8awo-2u7x.pages.dev/a7f9q-3zk-p8d4m-9hx?id=113349281373657&page_name=I%20S%20&%20F%20A%20Q%20K%20I%20N%20G/,malicious
qr_8.png,https://suryansh-byte.github.io/netflix_clone/,malicious
qr_9.png,http://retreat-applies-pay-confirmed.trycloudflare.com/otp.login.php,malicious
qr_10.png,https://telkomsamailler.weebly.com/,malicious
qr_11.png,https://623026594302.vercel.app/,malicious
qr_12.png,http://instagrammer-three.vercel.app/,malicious
qr_13.png,http://meta-msk-us-loggin.godaddysites.com/,malicious
qr_14.png,http://manage-cyan.vercel.app/,malicious
qr_15.png,https://kelvo-mirix-biz-punra-zxgw22526v-glavix.pages.dev/c9x2m-7bp-k4t8v-3ls?id=105565964337316&page_name=JLS%20Businesses%20Operation/%20%E1%9E%9F%E1%9F%81%E1%9E%9C%E1%9E%B6%E1%9E%80%E1%9E%98%E1%9F%92%E1%9E%98%E1%9E%85%E1%9E%BB%E1%9F%87%E1%9E%94%E1%9E%89%E1%9F%92%E1%9E%87%E1%9E%B8%E1%9E%A2%E1%9E%B6%E1%9E%87%E1%9E%B8%E1%9E%9C%E1%9E%80%E1%9E%98%E1%9F%92%E1%9E%98/,malicious
qr_16.png,http://pc.opqttzk-jp.top/,malicious
qr_17.png,https://niharika-penugonda.github.io/Netflix-frontend-clone/,malicious
qr_18.png,https://mgamt.com/landing/form/de2ac7b3-4f9f-4296-a2fa-0cdb64297b1c,malicious
qr_19.png,https://roblox.com.py/users/8070156558/profile,malicious
qr_20.png,http://delivery.dhldv.agency/,malicious
qr_21.png,https://roberto984-roberto.github.io/netflix/,malicious
qr_22.png,https://mgamt.com/landing/form/12bbcb0a-28bd-4457-aad9-dee7248b28b0,malicious
qr_23.png,https://jangidrajbala10-cyber.github.io/netflix-clone/,malicious
qr_24.png,http://retreat-applies-pay-confirmed.trycloudflare.com/mobile.html.php,malicious
qr_25.png,https://www.robiox.com.py/users/452445225461/profile,malicious
qr_26.png,https://facebooksocialpage.blogspot.com/,malicious
qr_27.png,https://hbajwa18.github.io/Netflix-clone/,malicious
qr_28.png,https://mgamt.com/landing/form/3c873c6d-8cd3-48e5-aa55-cbb41b48fd04,malicious
qr_29.png,https://roblox.com.ge/games/2788229376/Da-Hood?privateServerLinkCode=23204206718541938759497559243744,malicious
qr_30.png,https://ccrflowpag.vercel.app/,malicious
qr_31.png,https://mgamt.com/landing/form/9d576bba-6a63-42ac-b2d3-f2d55f18fe36,malicious
qr_32.png,https://roblox.com.ge/communities/591364511/,malicious
qr_33.png,http://homepage--btimart-bb-auth.webflow.io/,malicious
qr_34.png,https://appviewtechs.info/37693bf0e3fe4c494fiad589a38ub13c64c7.html/,malicious
qr_35.png,http://retreat-applies-pay-confirmed.trycloudflare.com/login.html.php,malicious
qr_36.png,https://www.robiox.com.py/users/252744685229/profile,malicious
qr_37.png,https://www.roblox.com.gl/users/243671918813/profile,malicious
qr_38.png,https://roblox.com.ge/games/124006402933611/2026-Sussy-sap-baddies?privateServerLinkCode=05014271557147806384774914739428,malicious
qr_39.png,https://collectionlimitskins.officiall-rewards.com/,malicious
